x, y, ksi, T
#iter= 1
1.8 0.15 -0.000571224 0.659258 
1.85 0.15 0.0132228 0.660826 
1.9 0.15 0.0265558 0.665781 
1.95 0.15 0.0389655 0.674019 
2 0.15 0.0500247 0.685368 
2.05 0.15 0.0593556 0.699604 
2.1 0.15 0.0666391 0.716449 
2.15 0.15 0.0716201 0.735572 
2.2 0.15 0.0741111 0.756579 
2.25 0.15 0.0739951 0.77899 
2.3 0.15 0.0712299 0.802194 
2.35 0.15 0.0658554 0.825417 
2.4 0.15 0.0580029 0.84769 
2.45 0.15 0.0479046 0.867856 
2.5 0.15 0.0358995 0.884641 
2.55 0.15 0.0224307 0.8968 
2.6 0.15 0.00803088 0.903316 
2.65 0.15 -0.00670545 0.903602 
2.7 0.15 -0.0211607 0.897632 
2.75 0.15 -0.0347368 0.885946 
2.8 0.15 -0.046894 0.869529 
2.85 0.15 -0.0571803 0.849615 
2.9 0.15 -0.065247 0.827482 
2.95 0.15 -0.0708524 0.804301 
3 0.15 -0.0738566 0.781061 
3.05 0.15 -0.0742119 0.758551 
3.1 0.15 -0.0719531 0.737394 
3.15 0.15 -0.0671908 0.718083 
3.2 0.15 -0.0601063 0.701017 
3.25 0.15 -0.0509485 0.686532 
3.3 0.15 -0.040031 0.67491 
3.35 0.15 -0.0277266 0.666382 
3.4 0.15 -0.0144583 0.661122 
3.45 0.15 -0.000686005 0.659243 
3.5 0.15 0.0131103 0.660784 
3.55 0.15 0.0264496 0.665711 
3.6 0.15 0.0388693 0.673922 
3.65 0.15 0.049942 0.685246 
3.7 0.15 0.0592896 0.699457 
3.75 0.15 0.0665925 0.71628 
3.8 0.15 0.0715952 0.735383 
3.85 0.15 0.0741097 0.756375 
3.9 0.15 0.0740185 0.778775 
3.95 0.15 0.0712788 0.801974 
4 0.15 0.0659298 0.825201 
4.05 0.15 0.058102 0.84749 
4.1 0.15 0.0480265 0.867686 
4.15 0.15 0.0360412 0.884517 
4.2 0.15 0.0225881 0.896738 
4.25 0.15 0.00819905 0.90333 
4.3 0.15 -0.00653249 0.903703 
4.35 0.15 -0.0209895 0.897824 
4.4 0.15 -0.0345742 0.886227 
4.45 0.15 -0.0467473 0.869895 
4.5 0.15 -0.0570573 0.850058 
4.55 0.15 -0.0651569 0.827994 
4.6 0.15 -0.0708066 0.804872 
4.65 0.15 -0.0738698 0.781681 
4.7 0.15 -0.0743039 0.75921 
4.75 0.15 -0.0721501 0.738073 
4.8 0.15 -0.0675249 0.718752 
4.85 0.15 -0.0606116 0.701632 
4.9 0.15 -0.0516472 0.687022 
4.95 0.15 -0.040896 0.675192 
5 0.15 -0.0285957 0.666411 
0 0.2 -0.0630846 0.58142 
0.05 0.2 -0.043991 0.570115 
0.1 0.2 -0.0232022 0.563078 
0.15 0.2 -0.00157651 0.560527 
